系列,系列グループ,科目コード,科目名,単位数,年次,開講期,単位区分,週コマ数,講義区分,学修 ･教育到達目標,GPA:4,GPA:3,GPA:2,test,other
体育健康,理論,151100,健康科学論Ａ,2,1,前期,○,1,講義,E,52.8,25,5.6,-1,-1
体育健康,理論,151200,健康科学論Ｂ,2,1,後期,○,1,講義,E,95,2.5,0,-1,-1
体育健康,理論,551200,エクササイズ演習（基礎）,2,1,前期・後期 ※,○,1,演習,E,0,0,0,-1,-1
体育健康,理論,556100,エクササイズ演習（応用）,2,1,前期・後期 ※,○,1,演習,E,0,0,0,-1,-1
体育健康,理論,556303,ヘルスコンディショニング演習,2,1,前期・後期 ※,○,1,演習,E,66.7,0,22.2,70,30
体育健康,理論,151000,身体運動のバイオメカニクス,2,1,前期・後期 ※,○,1,講義,E,46.5,32.3,14.1,50,50
体育健康,理論,152900,スポーツ社会学,2,1,前期・後期 ※,○,1,講義,E,64.7,20.6,11,-1,-1
体育健康,理論,153700,スポーツ健康学,2,1,前期・後期 ※,○,1,講義,E,7.1,31,21.4,80,20
体育健康,理論,154500,スポーツ生理学,2,1,前期・後期 ※,○,1,講義,E,44,42.7,6.7,80,20
体育健康,身体的 ｺﾐｭﾆｹｰｼｮﾝｽｷﾙ,6221600,ゴルフ,2,1,前期,○,2,実技,E,95.5,4.5,0,0,100
体育健康,身体的 ｺﾐｭﾆｹｰｼｮﾝｽｷﾙ,6165500,スキー（スポーツコミュニケーション）,1,1,後期,○,1,実技,E,100,0,0,0,100
体育健康,身体的 ｺﾐｭﾆｹｰｼｮﾝｽｷﾙ,6155600,テニス（テクニカル）,1,1,前期・後期 ※,○,1,実技,E,88.9,11.1,0,0,100
体育健康,身体的 ｺﾐｭﾆｹｰｼｮﾝｽｷﾙ,6164800,テニス（スポーツコミュニケーション）,1,1,前期・後期 ※,○,1,実技,E,73.4,15.2,5.1,0,100
体育健康,身体的 ｺﾐｭﾆｹｰｼｮﾝｽｷﾙ,6156400,ソフトボール（テクニカル）,1,1,前期・後期 ※,○,1,実技,E,96,4,0,0,100
